Unnamed: 0,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
4401,4,13,9997,4530 N 17TH AVENUE,Arizona,Maricopa,Phoenix,2014-10-02,Parts per billion,19.583333,47.0,20,44,Parts per million,0.028333,0.06,10,67,Parts per billion,1.1875,1.8,8,,Parts per million,0.441667,0.6,0,7.0
126745,56,21,100,NCore - North Cheyenne Soccer Complex,Wyoming,Laramie,Not in a city,2011-02-04,Parts per billion,1.617391,3.3,21,3,Parts per million,0.043875,0.046,9,39,Parts per billion,0.313636,0.5,7,0.0,Parts per million,0.0,0.0,0,0.0
93277,48,113,69,1415 Hinton Street,Texas,Dallas,Dallas,2010-04-12,Parts per billion,20.733333,37.8,21,35,Parts per million,0.0335,0.056,11,47,Parts per billion,1.15,3.1,21,4.0,Parts per million,0.362083,0.767,6,
12418,6,19,8,"3425 N FIRST ST, FRESNO",California,Fresno,Fresno,2009-10-09,Parts per billion,20.869565,33.0,23,31,Parts per million,0.027792,0.058,10,49,Parts per billion,2.391304,3.0,7,4.0,Parts per million,0.326087,0.5,6,
40150,6,83,2004,"128 S 'H' ST, LOMPOC",California,Santa Barbara,Lompoc,2011-05-16,Parts per billion,2.869565,13.0,6,12,Parts per million,0.030875,0.038,8,32,Parts per billion,1.0,1.0,5,,Parts per million,0.113043,0.3,6,
97939,42,101,4,1501 E. LYCOMING AVE.,Pennsylvania,Philadelphia,Philadelphia,2008-06-05,Parts per billion,14.404167,27.2,15,25,Parts per million,0.027292,0.043,20,36,Parts per billion,1.242857,1.5,17,,Parts per million,0.369565,0.5,14,
53016,21,111,51,"7201 WATSON LN, WATSON LN ELEMENTARY SCH",Kentucky,Jefferson,Louisville,2000-06-01,Parts per billion,16.869565,38.0,6,36,Parts per million,0.049208,0.076,10,101,Parts per billion,6.975,13.3,14,,Parts per million,1.013636,1.9,5,
87613,42,125,5,CHARLER01 WASTE TREATMENT PLANT,Pennsylvania,Washington,Charleroi,2010-05-24,Parts per billion,9.583333,34.0,22,32,Parts per million,0.018083,0.034,11,29,Parts per billion,3.1125,3.3,8,,Parts per million,0.316667,0.5,22,
29604,6,75,5,10 ARKANSAS ST.,California,San Francisco,San Francisco,2001-01-03,Parts per billion,45.043478,58.0,19,55,Parts per million,0.002458,0.006,8,5,Parts per billion,5.971429,8.0,11,,Parts per million,1.925,2.4,0,27.0
79301,40,143,1127,3520 1/2 N. PEORIA,Oklahoma,Tulsa,Tulsa,2010-10-15,Parts per billion,15.416667,36.0,18,34,Parts per million,0.016542,0.038,9,32,Parts per billion,0.6125,1.8,17,,Parts per million,0.408333,1.2,19,
70804,42,13,801,2ND AVE & 7TH ST,Pennsylvania,Blair,Altoona,2006-09-09,Parts per billion,9.333333,18.0,0,17,Parts per million,0.026125,0.054,10,46,Parts per billion,5.2375,13.6,17,,Parts per million,0.229167,0.3,0,3.0
91920,37,119,41,1130 EASTWAY DRIVE,North Carolina,Mecklenburg,Charlotte,2015-11-04,Parts per billion,6.673913,10.6,17,9,Parts per million,0.016667,0.02,0,19,Parts per billion,0.004348,0.1,2,0.0,Parts per million,0.20813,0.248,20,
34348,6,83,2011,"380 N FAIRVIEW AVENUE, GOLETA",California,Santa Barbara,Goleta,2001-04-09,Parts per billion,7.0,24.0,7,23,Parts per million,0.035208,0.046,9,39,Parts per billion,0.217391,2.0,3,3.0,Parts per million,0.283333,0.4,6,5.0
95760,48,141,37,250 Rim Rd,Texas,El Paso,El Paso,2010-04-26,Parts per billion,17.415,48.6,20,45,Parts per million,0.035208,0.051,10,43,Parts per billion,0.4375,0.9,8,,Parts per million,0.220833,0.3,19,3.0
104426,48,29,622,7145 Gardner Roas,Texas,Bexar,Not in a city,2008-01-07,Parts per billion,3.125,10.0,10,9,Parts per million,0.025417,0.03,11,25,Parts per billion,1.4,4.0,11,,Parts per million,0.2,0.2,0,2.0
88606,37,119,41,1130 EASTWAY DRIVE,North Carolina,Mecklenburg,Charlotte,2011-04-23,Parts per billion,4.875,8.0,7,8,Parts per million,0.025708,0.038,12,32,Parts per billion,-0.0625,0.0,11,,Parts per million,0.4,0.5,19,
90350,51,59,5001,LEWINSVILLE 1437 BALLS HILL RD,Virginia,Fairfax,McLean,2000-09-13,Parts per billion,12.916667,31.0,19,29,Parts per million,0.024667,0.05,10,42,Parts per billion,12.333333,19.0,9,27.0,Parts per million,0.316667,0.6,19,
40260,6,83,4003,"STS POWER PLANT, VANDENBERG AFB",California,Santa Barbara,Vandenberg Air Force Base,2010-07-18,Parts per billion,0.0,0.0,0,0,Parts per million,0.024125,0.026,11,22,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.0,0.0,0,
47202,8,31,2,2105 BROADWAY,Colorado,Denver,Denver,2014-01-05,Parts per billion,20.526087,41.6,5,39,Parts per million,0.017958,0.027,10,25,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.254167,0.7,1,
36375,6,83,2004,"128 S 'H' ST, LOMPOC",California,Santa Barbara,Lompoc,2012-10-01,Parts per billion,8.333333,18.0,5,17,Parts per million,0.028909,0.042,10,36,Parts per billion,1.766667,2.0,8,,Parts per million,0.466667,0.7,9,8.0
66329,42,13,801,2ND AVE & 7TH ST,Pennsylvania,Blair,Altoona,2004-07-23,Parts per billion,7.333333,24.0,7,23,Parts per million,0.021375,0.037,10,31,Parts per billion,6.416667,38.0,10,54.0,Parts per million,0.304167,0.4,0,5.0
14721,6,13,1002,5551 BETHEL ISLAND RD,California,Contra Costa,Bethel Island,2014-01-20,Parts per billion,16.769565,31.2,1,29,Parts per million,0.013833,0.03,10,28,Parts per billion,0.463636,0.8,5,0.0,Parts per million,0.433333,0.6,2,7.0
45882,9,9,27,1JAMES STREET,Connecticut,New Haven,New Haven,2009-08-22,Parts per billion,5.083333,12.0,0,11,Parts per million,0.018542,0.027,4,23,Parts per billion,0.116667,0.3,0,0.0,Parts per million,0.158333,0.2,0,2.0
78086,42,91,13,STATE ARMORY - 1046 BELVOIR RD,Pennsylvania,Montgomery,Norristown,2006-10-01,Parts per billion,8.333333,16.0,22,15,Parts per million,0.024042,0.036,9,31,Parts per billion,5.9875,7.0,14,,Parts per million,0.0,0.0,0,0.0
73705,42,73,15,CROTON ST & JEFFERSON ST.,Pennsylvania,Lawrence,New Castle,2005-05-08,Parts per billion,11.333333,28.0,20,26,Parts per million,0.041708,0.069,10,80,Parts per billion,4.708333,7.0,8,10.0,Parts per million,0.295833,0.5,0,
